Timestamp,Random_Number,Random_Number_Plus_5
1,0.5811884131,5.581188413
1.01,0.9786612158,5.978661216
1.02,0.1339487593,5.133948759
1.03,0.8417737234,5.841773723
1.04,0.9992112294,5.999211229
1.05,0.7745911091,5.774591109
1.06,0.3070606647,5.307060665
1.07,0.07182265954,5.07182266
1.08,0.3914037684,5.391403768
1.09,0.3990216832,5.399021683
1.1,0.06367580894,5.063675809
1.11,0.5586131179,5.558613118
1.12,0.4722347525,5.472234753
1.13,0.4023192857,5.402319286
1.14,0.8001504006,5.800150401
1.15,0.464446229,5.464446229
1.16,0.6396134543,5.639613454
1.17,0.7974092725,5.797409273
1.18,0.5960802938,5.596080294
1.19,0.1052587079,5.105258708
1.2,0.490826488,5.490826488
1.21,0.1896018115,5.189601812
1.22,0.1807795729,5.180779573
1.23,0.1098318586,5.109831859